S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
45,WESTERN,BUNGOMA,KIMILILI,Y45F,36621115,KIMIILILI FRIENDS GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
46,WESTERN,BUNGOMA,KIMILILI,QCT6,36621110,ST. LUKE'S BOYS' HIGH SCHOOL KIMILILI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
47,WESTERN,BUNGOMA,KIMILILI,YUZX,36621105,ST. MARY'S SOSIO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
48,WESTERN,BUNGOMA,MT. ELGON,VZ2C,36605101,KAPSOKWONY HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
49,WESTERN,BUNGOMA,MT. ELGON,ZB58,36605103,KIBUK GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
50,WESTERN,BUNGOMA,TONGAREN,K4K8,36636010,MITUA GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
51,WESTERN,BUNGOMA,TONGAREN,GXNA,36636002,ST. AUGUSTINE GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
52,WESTERN,BUNGOMA,WEBUYE WEST,5XAU,36635002,FRIENDS SCHOOL BOKOLI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
53,WESTERN,BUNGOMA,WEBUYE WEST,82NL,36635006,NAMAWANGA GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
54,WESTERN,BUSIA,BUNYALA,DJGY,35610101,ST.BENEDICT'S HIGH SCHOOL -BUDALANGI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
55,WESTERN,BUSIA,BUSIA,F3NP,35601201,ST MARY'S MUNDIKA HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
56,WESTERN,BUSIA,BUSIA,VUFY,35601101,ST. MATHIAS' BUSIA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
57,WESTERN,BUSIA,BUTULA,7K38,35623108,BUJUMBA BOYS SECONDARY,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
58,WESTERN,BUSIA,BUTULA,LNC8,35623105,BUSIADA GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
59,WESTERN,BUSIA,NAMBALE,LK8F,35629102,KISOKO GIRLS SECONDARY SCHOOL,C2,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
60,WESTERN,BUSIA,SAMIA,XX36,35609104,SIGALAME HIGH SCHOOL,C2,PUBLIC,DREGULAR,NONE,BOARDING,BOYS
61,WESTERN,BUSIA,SAMIA,CFVX,35609105,ST. CECILIA NANGINA GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
62,WESTERN,BUSIA,TESO CENTRAL,XRGL,35639101,ST. PAUL'S AMUKURA HIGH.,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
63,WESTERN,BUSIA,TESO NORTH,GHV8,35606103,BISHOP SULUMETI CHELELEMUK GIRLS HIGH,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
64,WESTERN,BUSIA,TESO NORTH,6GLH,35606101,SS.CAH. KOOLANYA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
65,WESTERN,BUSIA,TESO SOUTH,AEV4,35620201,ST MONICA CHAKOL GIRLS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
66,RIFT VALLEY,ELGEYO,KEIYO NORTH,4RG5,34518402,AIC GIRLS SECONDARY SCHOOL KESSUP,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
67,RIFT VALLEY,EMLAGREAYKOW,KEIYO NORTH,VKPV,34518104,KIPSOEN SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
68,RIFT VALLEY,EMLAGREAYKOW,KEIYO NORTH,2YBM,34518102,SING'ORE GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
69,RIFT VALLEY,EMLAGREAYKOW,KEIYO SOUTH,PKW7,34559201,KAPKENDA GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
70,RIFT VALLEY,MELAGREAYKOW,KEIYO SOUTH,5S6X,34559503,KIPSAOS BOYS,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
71,RIFT VALLEY,EMLAGREAYKOW,KEIYO SOUTH,C83M,34559204,MOKWO GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
72,RIFT VALLEY,MELAGREAYKOW,KEIYO SOUTH,MSM9,34559208,OUR LADY OF GLORY KAPTAGAT GIRLS HIGH,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
73,RIFT VALLEY,EMLAGREAYKOW,KEIYO SOUTH,YJDW,34559501,SSICMHOTOWL O SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
74,RIFT VALLEY,EMLAGREAYKOW,MARAKWET EAST,D95X,34561301,SAMBIRIR GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
75,RIFT VALLEY,MELAGREAYKOW,MARAKWET,VGP7,34520101,CHEBARA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
76,RIFT VALLEY,MELAGREAYKOW,WMAERSTAKWET,5BZB,34520202,KAPSOWAR BOYS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
77,RIFT VALLEY,MELAGREAYKOW,MWAERSTAKWET,JJ7M,34520104,SANTA MARIA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
78,RIFT VALLEY,EMLAGREAYKOW,WMAERSTAKWET,LVCX,34520102,ST. PETER'S MARAKWET BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
79,RIFT VALLEY,MELAGREAYKOW,WMAERSTAKWET,L6RV,34520103,YEMIT BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
80,RIFT VALLEY,MELAGREAYKOW,MWAERSTAKWET,R3L4,34520109,YEMIT GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
81,EASTERN,EMMABRUAKW,EWMEBSTU EAST,G6QV,14333202,KEGONGE BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
82,EASTERN,EMBU,EMBU EAST,TDJN,14333203,ST AGNES KIAGANARI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
83,EASTERN,EMBU,EMBU EAST,PWAF,14333102,ST. CATHERINE NTHAGAIYA GIRLS SECONDARY,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
84,EASTERN,EMBU,EMBU NORTH,AXNL,14355112,KSCAHVOUOTLIRI BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
85,EASTERN,EMBU,EMBU NORTH,ATPS,14355101,"KING DAVID BOYS HIGH SCHOOL, KAMAMA",C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
86,EASTERN,EMBU,EMBU NORTH,4JTA,14355102,KIRIARI GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
87,EASTERN,EMBU,EMBU NORTH,EELS,14355201,NGUVIU BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
88,EASTERN,EMBU,EMBU NORTH,UJVA,14355202,NGUVIU GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
89,EASTERN,EMBU,EMBU WEST,9CHU,14303104,KANGARU GIRLS SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
90,EASTERN,EMBU,EMBU WEST,2Q6P,14303101,KANGARU SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
91,EASTERN,EMBU,EMBU WEST,M2RL,14303105,KIRIMARI SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
92,EASTERN,EMBU,EMBU WEST,7CYS,14303201,ST PAUL'S HIGH SCHOOL KEVOTE,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
93,EASTERN,EMBU,EMBU WEST,Y5MZ,14303203,ST TERESA'S GIRLS' - KITHIMU,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
94,EASTERN,EMBU,EMBU WEST,WS89,14303102,ST. MARYS KIANGIMA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
95,EASTERN,EMBU,MBEERE NORTH,4URF,14312104,GANGARA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
96,EASTERN,EMBU,MBEERE NORTH,8F7Y,14312301,KANYUAMBORA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
97,EASTERN,EMBU,MBEERE NORTH,47SG,14312105,KIAMBERE SCHOOL COMPLEX,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
98,EASTERN,EMBU,MBEERE SOUTH,A5RD,14341104,MARIARI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
99,EASTERN,EMBU,MBEERE SOUTH,8NGT,14341101,MAYORI SECONDARY SCHOOL,C2,PUBLIC,INTERGRATE,VI,BOARDING,Mixed
100,EASTERN,EMBU,MWEA,3UUK,14376404,JOSEPH ALLAMANO - WACHORO SECONDARY,C2,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
101,NORTH EASTERN,GARISSA,BURA EAST,8MF6,45827102,FAFI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
102,NORTH EASTERN,GARISSA,GARISSA,R7PQ,45801103,COUNTY HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
103,NORTH EASTERN,GARISSA,SANKURI,258X,45839102,SAKA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
104,NORTH EASTERN,GARISSA,SANKURI,AA9N,45839101,SANKURI SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
105,NYANZA,HOMA BAY,MBITA,8P2N,41730309,AMBASSADOR PAMELA MBOYA GIRLS SECONDARY,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
106,NYANZA,HOMA BAY,MBITA,P739,41730107,NSCYHAOMOASARE GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
107,NYANZA,HOMA BAY,MBITA,JJ3Q,41730102,TOM MBOYA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
108,NYANZA,HOMA BAY,NDHIWA,FPED,41724203,MAGINA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
109,NYANZA,HOMA BAY,NDHIWA,V32F,41724101,MIROGI BOYS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
110,NYANZA,HOMA BAY,NDHIWA,4TMF,41724102,MIROGI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
111,NYANZA,HOMA BAY,NDHIWA,L9QZ,41724002,RATANG'A SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
112,NYANZA,HOMA BAY,RACHUONYO,DGBJ,41743203,DUDI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
113,NYANZA,HOMA BAY,REASCTHUONYO,ALAX,41743204,OBER SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
114,NYANZA,HOMA BAY,REASCTHUONYO,RMFQ,41743205,OUR LADY OF MERCY RINGA BOYS SECONDARY,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
115,NYANZA,HOMA BAY,REASCTHUONYO,3Z8U,41743101,WSCAHNOGO'LAPALA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
116,NYANZA,HOMA BAY,REASCTHUONYO,V9DR,41731101,GENDIA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
117,NYANZA,HOMA BAY,NRAOCRHTUONYO,4T7J,41731002,MAWEGO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
118,NYANZA,HOMA BAY,RNAOCRHTUONYO,LWC7,41731303,ORIWO BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
119,NYANZA,HOMA BAY,NRAONRGTWE,MAC3,41742103,KUOYO KOCHIA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
120,NYANZA,HOMA BAY,SUBA,V9BE,41709101,MOI GIRLS' SECONDARY SCHOOL - SINDO,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
121,NYANZA,HOMA BAY,SUBA,H4AK,41709203,ST.GABRIEL'S GWASSI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
122,NYANZA,HOMA BAY,SUBA,L8WJ,41709201,TONGA BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
123,EASTERN,ISIOLO,GARBATULLA,WUBX,17322201,BISANADHI HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
124,EASTERN,ISIOLO,ISIOLO,59YN,17306101,ISIOLO BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
125,RIFT VALLEY,KAJIADO,KAJIADO NORTH,B76R,31557204,ENOOMATASIANI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
126,RIFT VALLEY,KAJIADO,KAJIADO NORTH,FJQQ,31557206,NAKEEL SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
127,RIFT VALLEY,KAJIADO,KAJIADO WEST,LHJW,31573201,NAJILE BOYS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
128,RIFT VALLEY,KAJIADO,KAJIADO WEST,J3XU,31573106,OLOOSEOS GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
129,RIFT VALLEY,KAJIADO,KAJIADO WEST,K5MH,31573101,ST. BRIGID BARAKA OONTOYIE SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
130,RIFT VALLEY,KAJIADO,LOITOKITOK,SA3L,31545101,OLOITOKITOK SEC,C2,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
131,RIFT VALLEY,KAJIADO,OLOILILAI,C468,31590403,KILUANI BOYS SECONDARY SCHOOL,C2,PUBLIC,DREGULAR,NONE,BOARDING,BOYS
132,WESTERN,KAKAMEGA,BUTERE,39UE,37608003,BUTERE BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
133,WESTERN,KAKAMEGA,KAKAMEGA,AXQQ,37603005,BISHOP SULUMETI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
134,WESTERN,KAKAMEGA,CKEANKTARMAEGA,HUL8,37603105,SHIKOTI GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
135,WESTERN,KAKAMEGA,CKEANKTARMAEGA EAST,5PD6,37616002,LIRHANDA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
136,WESTERN,KAKAMEGA,KAKAMEGA EAST,NG2C,37616020,SHANDEREMA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
137,WESTERN,KAKAMEGA,KAKAMEGA EAST,PRMM,37616001,ST. AGNES GIRLS HIGH SCHOOL - SHIBUYE,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
138,WESTERN,KAKAMEGA,KAKAMEGA EAST,NAK6,37616006,ST.IGNATIUS MUKUMU BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
139,WESTERN,KAKAMEGA,KAKAMEGA EAST,FY4S,37616021,ST.PHILIPS MUKOMARI SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
140,WESTERN,KAKAMEGA,KAKAMEGA,QC7H,37614102,MALAVA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
141,WESTERN,KAKAMEGA,NKAOKRATMHEGA,GZHD,37615004,MUSOLI GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
142,WESTERN,KAKAMEGA,KSOAUKTAHMEGA,YLCJ,37615009,SHIKUNGA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,Mixed
143,WESTERN,KAKAMEGA,KSOAUKTAHMEGA,6LXZ,37615003,ST. THERESA'S EREGI GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
144,WESTERN,KAKAMEGA,SKOHUWTIHSERO,YJ4E,37625106,MWIHILA HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
145,WESTERN,KAKAMEGA,LIKUYANI,U9JL,37631401,MOI GIRLS' SECONDARY SCHOOL-NANGILI,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
146,WESTERN,KAKAMEGA,LIKUYANI,WP6L,37631302,ST JOHN THE BAPTIST LIKUYANI SECONDARY,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
147,WESTERN,KAKAMEGA,LIKUYANI,GRC9,37631502,SSCTH.AONONLE'S NZOIA GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
148,WESTERN,KAKAMEGA,LUGARI,LLSD,37607201,ARCHBISHOP NJENGA GIRLS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
149,WESTERN,KAKAMEGA,LUGARI,CVE8,37607002,BISHOP SULUMETI GIRLS SECONDARY SCHOOL -,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
150,WESTERN,KAKAMEGA,LUGARI,TTW7,37607001,LUGMARKIANDA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
151,WESTERN,KAKAMEGA,LUGARI,DXB5,37607101,MAUTUMA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
152,WESTERN,KAKAMEGA,LUGARI,AKJE,37607103,ST CECILIA GIRLS MAUTUMA SECONDARY SCHOOL,C2,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
153,WESTERN,KAKAMEGA,LUGARI,VUTL,37607203,ST. PAUL'S LUGARI BOYS SECONDARY SCHOOL,C2,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
154,WESTERN,KAKAMEGA,MATETE,TVJC,37624002,KIVAYWA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
