S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
1,RIFT VALLEY,BARINGO,BARINGO,GSC2,33517203,KITURO HIGH SCHOOL,C2,PUBLIC,RSNEEG/ULAR,NTOYNPE,BOONA TRYDPIENG,MIXED
2,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,3PYX,33517205,PEMWAI GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,RWU6,33517104,TABAGON GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,L7A6,33517101,TENGES SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5,RIFT VALLEY,BARINGO,BCEANRTINRGAOL NORTH,U6JW,33547201,BARTOLIMO BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6,RIFT VALLEY,BARINGO,BARINGO NORTH,NBHW,33547103,MOI HIGH SCHOOL KABARTONJO,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
7,RIFT VALLEY,BARINGO,BARINGO NORTH,9M8T,33547202,RUTH KIPTUI GIRLS HIGH SCHOOL-KASOK,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
8,RIFT VALLEY,BARINGO,KOIBATEK,99LH,33521102,KABIMOI HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
9,RIFT VALLEY,BARINGO,KOIBATEK,U3K5,33521101,MERCY GIRLS HIGH SCHOOL - ELDAMA RAVINE,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
10,RIFT VALLEY,BARINGO,KOIBATEK,GGYQ,33521106,POROR HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
11,RIFT VALLEY,BARINGO,KOIBATEK,DPBZ,33521108,SAOS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
12,RIFT VALLEY,BARINGO,KOIBATEK,93KE,33521105,SOLIAN GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
13,RIFT VALLEY,BARINGO,KOIBATEK,XXE8,33521109,TONIOK GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
14,RIFT VALLEY,BARINGO,MARIGAT,EHQE,33558101,MARIGAT SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
15,RIFT VALLEY,BARINGO,MOGOTIO,CKMG,33562201,EMINING SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
16,RIFT VALLEY,BARINGO,MOGOTIO,F3VU,33562303,KIMNGOROM GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
17,RIFT VALLEY,BARINGO,MOGOTIO,MHSZ,33562401,KISANANA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
18,RIFT VALLEY,BARINGO,MOGOTIO,2FGK,33562101,MOGOTIO GIRLS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
19,RIFT VALLEY,BOMET,BOMET CENTRAL,UELJ,25508102,KABUNGUT SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
20,RIFT VALLEY,BOMET,BOMET EAST,J6TH,25583108,LONGISA HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
21,RIFT VALLEY,BOMET,CHEPALUNGU,Y398,25551117,CHEPALUNGU BOYS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
22,RIFT VALLEY,BOMET,CHEPALUNGU,2V9P,25551101,KABOSON GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
23,RIFT VALLEY,BOMET,KONOIN,C4HR,25563105,BOITO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
24,RIFT VALLEY,BOMET,KONOIN,RPGW,25563301,KIMULOT SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
25,RIFT VALLEY,BOMET,KONOIN,W7KP,25563102,KOIWA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
26,RIFT VALLEY,BOMET,KONOIN,5G3R,25563101,SASETA GIRLS' SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
27,RIFT VALLEY,BOMET,SOTIK,TRC8,25533106,CHEBILAT SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
28,RIFT VALLEY,BOMET,SOTIK,ZJQH,25533126,LORNA LABOSO MEMORIAL GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
29,RIFT VALLEY,BOMET,SOTIK,963H,25533203,NDANAI SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
30,WESTERN,BUNGOMA,BUMULA,BZ4E,36628101,KHASOKO HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
31,WESTERN,BUNGOMA,BUMULA,JADU,36628102,ST. TERESA'S KABULA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
32,WESTERN,BUNGOMA,BUNGOMA,UHCV,36612203,CHEBUKAKA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
33,WESTERN,BUNGOMA,CBEUNTGROAMA,NC2T,36612205,KUYWA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
34,WESTERN,BUNGOMA,CBEUNTGROAMA,8ANV,36612104,LUUYA GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
35,WESTERN,BUNGOMA,BCEUNTGROAMA,6WNU,36612108,ST.JOSEPH'S NALONDO BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
36,WESTERN,BUNGOMA,BCEUNTGROAMA,PCQ4,36612201,TEREMI BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
37,WESTERN,BUNGOMA,CBEUNTGROAMA EAST,WGEA,36613115,NDIVISI GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
38,WESTERN,BUNGOMA,BUNGOMA EAST,87VR,36613105,ST.CECILIA GIRLS MISIKHU,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
39,WESTERN,BUNGOMA,BUNGOMA,999Y,36611002,ST. PATRICK'S NAITIRI HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
40,WESTERN,BUNGOMA,NBUONRGTHOMA SOUTH,4RZZ,36602101,BUNGOMA HIGH SCHOOL,C2,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
41,WESTERN,BUNGOMA,BUNGOMA WEST,ZTMB,36626205,A C BUTONGE HIGH SCHOOL,C2,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
42,WESTERN,BUNGOMA,BUNGOMA WEST,95KE,36626101,CHWELE GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
43,WESTERN,BUNGOMA,KIMILILI,7JV7,36621101,CHESAMISI BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
44,WESTERN,BUNGOMA,KIMILILI,PMSE,36621102,KAMUSINDE BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
