S/No.,REGION,COUNTY,SUB,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
1,RIFT VALLEY,BARINGO,BCOARUINNTGYO,5XVV,33517112,BEKIBON SECONDARY SCHOOL,C4,PUBLIC,RSNEGE/ULAR,NTOYNPEE,DOANY TYPE,MIXED
2,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,5PK2,33517110,CHEPKERO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
3,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,WDP3,33517223,CHESONGO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
4,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,B9WQ,33517403,EMOM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
5,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,CKGL,33517229,KABARBARMA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
6,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,KS6U,33517218,KABARNET HURTH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
7,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,7C2A,33517210,KAPCHOMUSO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
8,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,69MH,33517117,KAPKOMOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
9,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,XYXR,33517224,KAPKUT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
10,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,66LY,33517230,KAPSERGONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
11,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,NAY3,33517221,KAPSOGO SCHWENK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
12,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,CPVA,33517216,KAPTIMBOR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
13,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,XT35,33517111,KAPTIRIONY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
14,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,KQEF,33517226,KAPTOROKWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
15,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,DF3S,33517109,KESETAN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
16,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,PB9A,33517220,KIBOINO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
17,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,5F5E,33517225,KIPKAECH SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
18,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,T82M,33517309,KIPONJOS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
19,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,NQDG,33517213,KIPSOIT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
20,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,FZJB,33517219,KISOK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
21,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,U4HH,33517108,KISONEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
22,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,KJDT,33517227,NGOLONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
23,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,KHM8,33517222,RIWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
24,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,75LB,33517228,SENETWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
25,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,XLBX,33517217,SERETUNIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
26,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,D5JH,33517231,SOROK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
27,RIFT VALLEY,BARINGO,BCEANRTINRGAOL,YQ8Z,33517107,ST. MARY'S TENGES DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
28,RIFT VALLEY,BARINGO,CEBNATRRINAGLO,5YKJ,33517232,TEBEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
29,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,5KXZ,33517105,TIMBOIYWO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
30,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,4CPN,33517113,TULUONGOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
31,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,94KA,33547408,BARWESSA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
32,RIFT VALLEY,BARINGO,BNAORRINTGHO,QK8X,33547115,BOSSEI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
33,RIFT VALLEY,BARINGO,BNAORRINTGHO,XMR5,33547118,KAPCHEPKULEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
34,RIFT VALLEY,BARINGO,BNAORRINTGHO,UUSV,33547112,KAPKIRWOK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
35,RIFT VALLEY,BARINGO,BNAORRINTGHO,WHNX,33547119,KAPKWANG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
36,RIFT VALLEY,BARINGO,BNAORRINTGHO,HT7T,33547407,KATIBEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
37,RIFT VALLEY,BARINGO,BNAORRINTGHO,5FEQ,33547111,KILINGOT DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
38,RIFT VALLEY,BARINGO,BNAORRINTGHO,L6LU,33547206,KIMUGUL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
39,RIFT VALLEY,BARINGO,BNAORRINTGHO,EXR6,33547411,KINYACH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
40,RIFT VALLEY,BARINGO,BNAORRINTGHO,89AZ,33547409,KUIKUI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
41,RIFT VALLEY,BARINGO,BNAORRINTGHO,DPTF,33547113,LAKE BARINGO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
42,RIFT VALLEY,BARINGO,BNAORRINTGHO,PDRN,33547209,LORUK MIXED DAY SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
43,RIFT VALLEY,BARINGO,BNAORRINTGHO,NJWC,33547117,MOI KABARTONJO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
44,RIFT VALLEY,BARINGO,BNAORRINTGHO,SFF3,33547301,MOIGUTWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
45,RIFT VALLEY,BARINGO,BNAORRINTGHO,E5CP,33547410,MUCHUKWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
46,RIFT VALLEY,BARINGO,BNAORRINTGHO,RGJX,33547207,SIBILO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
47,RIFT VALLEY,BARINGO,BNAORRINTGHO,K7F8,33547116,TIRIMIONIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
48,RIFT VALLEY,BARINGO,BNAORRINTGHO,RX2T,33547108,TIRIONDONIN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
49,RIFT VALLEY,BARINGO,BANROINRGTOH,XHX6,33547208,YATIA MIXED DAY AND BOARDING SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
50,RIFT VALLEY,BARINGO,KNOIRBTAHTEK,C2X6,33521112,ARAMA HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
51,RIFT VALLEY,BARINGO,KOIBATEK,BNQK,33521116,BENONIN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
52,RIFT VALLEY,BARINGO,KOIBATEK,S794,33521113,BHAKITA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
53,RIFT VALLEY,BARINGO,KOIBATEK,3V3X,33521127,KABIMOI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
54,RIFT VALLEY,BARINGO,KOIBATEK,PJTA,33521114,KAMELILO DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
55,RIFT VALLEY,BARINGO,KOIBATEK,7PHC,33521209,KAMURA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
56,RIFT VALLEY,BARINGO,KOIBATEK,MCVN,33521117,KAPCHOLOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
57,RIFT VALLEY,BARINGO,KOIBATEK,NQCN,33521125,KIPKORIONY MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
58,RIFT VALLEY,BARINGO,KOIBATEK,2HB3,33521120,KIPKUYANG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
59,RIFT VALLEY,BARINGO,KOIBATEK,9U6Y,33521301,KIPLOMBE DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
60,RIFT VALLEY,BARINGO,KOIBATEK,8STM,33521124,KIPTUNO DAY MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
61,RIFT VALLEY,BARINGO,KOIBATEK,C5J8,33521303,LEBOLOS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
62,RIFT VALLEY,BARINGO,KOIBATEK,UFAJ,33521210,LELGEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
63,RIFT VALLEY,BARINGO,KOIBATEK,XTLH,33521111,MAJI MAZURI MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
64,RIFT VALLEY,BARINGO,KOIBATEK,UY2M,33521128,MAJI MAZURI R.C SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
65,RIFT VALLEY,BARINGO,KOIBATEK,7RUQ,33521307,MARY KEITANY SHOE4 AFRICA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
66,RIFT VALLEY,BARINGO,KOIBATEK,5J5G,33521205,MOI HIGHLAND HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
67,RIFT VALLEY,BARINGO,KOIBATEK,UH77,33521305,MUSERECHI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
68,RIFT VALLEY,BARINGO,KOIBATEK,CTSR,33521211,NYAKIO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
69,RIFT VALLEY,BARINGO,KOIBATEK,Q9XU,33521304,SAGAT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
70,RIFT VALLEY,BARINGO,KOIBATEK,WLS6,33521110,SIGORO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
71,RIFT VALLEY,BARINGO,KOIBATEK,7NL9,33521122,SIMOTWET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
72,RIFT VALLEY,BARINGO,KOIBATEK,QDT9,33521121,SINONIN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
73,RIFT VALLEY,BARINGO,KOIBATEK,FLVX,33521306,SOLIAN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
74,RIFT VALLEY,BARINGO,KOIBATEK,D236,33521208,SOYMINING MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
75,RIFT VALLEY,BARINGO,KOIBATEK,S8LT,33521206,ST. MARY'S BOITO HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
76,RIFT VALLEY,BARINGO,KOIBATEK,7A7N,33521126,ST. PATRICK'S MIXED DAY SECONDARY SCHOOL - ELDAMA,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
77,RIFT VALLEY,BARINGO,KOIBATEK,NDHG,33521204,TINET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
78,RIFT VALLEY,BARINGO,KOIBATEK,CMWE,33521212,TIRIPKATOI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
79,RIFT VALLEY,BARINGO,KOIBATEK,2ZAT,33521118,TOLMO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
80,RIFT VALLEY,BARINGO,KOIBATEK,NRGJ,33521207,TUGUMOI KOIBATEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
81,RIFT VALLEY,BARINGO,KOIBATEK,Q4R6,33521115,UHURU HIGH SCHOOL-KABIYET,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
82,RIFT VALLEY,BARINGO,MARIGAT,52PG,33558116,CHEBORUSWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
83,RIFT VALLEY,BARINGO,MARIGAT,88KD,33558114,ELDUME MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
84,RIFT VALLEY,BARINGO,MARIGAT,4JDX,33558212,EMBOSSOS MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
85,RIFT VALLEY,BARINGO,MARIGAT,5WRK,33558213,KABEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
86,RIFT VALLEY,BARINGO,MARIGAT,YJ4G,33558209,KAMAILEL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
87,RIFT VALLEY,BARINGO,MARIGAT,2UXX,33558210,KARNEE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
88,RIFT VALLEY,BARINGO,MARIGAT,Y7CM,33558117,KIBINGOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
89,RIFT VALLEY,BARINGO,MARIGAT,98BZ,33558107,KIMALEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
90,RIFT VALLEY,BARINGO,MARIGAT,A4RP,33558207,KIMORIOT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
91,RIFT VALLEY,BARINGO,MARIGAT,XK3X,33558111,KORIEMA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
92,RIFT VALLEY,BARINGO,MARIGAT,EVDP,33558120,LOITIP SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
93,RIFT VALLEY,BARINGO,MARIGAT,W8MX,33558115,LOWLAND HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
94,RIFT VALLEY,BARINGO,MARIGAT,4Q5F,33558110,MARIGAT INTEGRATED DAY SECONDARY SCHOOL,C4,PUBLIC,INTERGRATE,VI,DAY,MIXED
95,RIFT VALLEY,BARINGO,MARIGAT,YUMP,33558118,MEISORI SECONDARY SCHOOL,C4,PUBLIC,RDEGULAR,NONE,DAY,MIXED
96,RIFT VALLEY,BARINGO,MARIGAT,C5ZT,33558202,MWENGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
97,RIFT VALLEY,BARINGO,MARIGAT,2J9L,33558204,NGARIE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
98,RIFT VALLEY,BARINGO,MARIGAT,K6JN,33558208,NGENYILEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
99,RIFT VALLEY,BARINGO,MARIGAT,J5G2,33558112,NGOLBELON MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
100,RIFT VALLEY,BARINGO,MARIGAT,Q5G2,33558206,NYIMBEI DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
101,RIFT VALLEY,BARINGO,MARIGAT,PJTQ,33558109,PATKAWANIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
102,RIFT VALLEY,BARINGO,MARIGAT,TXH6,33558119,PERKERRA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
103,RIFT VALLEY,BARINGO,MARIGAT,JTBJ,33558106,SABOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
104,RIFT VALLEY,BARINGO,MARIGAT,5VTD,33558105,SALABANI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
105,RIFT VALLEY,BARINGO,MARIGAT,3ZAQ,33558211,SAMBAKA DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
106,RIFT VALLEY,BARINGO,MARIGAT,XTRT,33558108,SANDAI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
107,RIFT VALLEY,BARINGO,MARIGAT,AFVY,33558113,SOKOTEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
108,RIFT VALLEY,BARINGO,MARIGAT,KAXM,33558205,TUIYOBEI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
109,RIFT VALLEY,BARINGO,MARIGAT,DPRU,33558203,TUIYOTICH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
110,RIFT VALLEY,BARINGO,MOGOTIO,TBYX,33562301,CHEBEREN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
111,RIFT VALLEY,BARINGO,MOGOTIO,RKHT,33562405,AIC KISANANA TOTONA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
112,RIFT VALLEY,BARINGO,MOGOTIO,Y46P,33562114,KAMAR MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
113,RIFT VALLEY,BARINGO,MOGOTIO,68Y7,33562206,KAPLELWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
114,RIFT VALLEY,BARINGO,MOGOTIO,ZLEA,33562203,KIMOSE DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
115,RIFT VALLEY,BARINGO,MOGOTIO,VU9W,33562113,KIPKITUR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
116,RIFT VALLEY,BARINGO,MOGOTIO,REW5,33562111,KIPSOGON SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
117,RIFT VALLEY,BARINGO,MOGOTIO,688A,33562104,KOIBARAK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
118,RIFT VALLEY,BARINGO,MOGOTIO,HCFX,33562208,KOITEBES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
119,RIFT VALLEY,BARINGO,MOGOTIO,KT5W,33562110,LOMBOGISHU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
120,RIFT VALLEY,BARINGO,MOGOTIO,ZQDK,33562112,MOGOTIO TOWNSHIP MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
121,RIFT VALLEY,BARINGO,MOGOTIO,2W8G,33562107,MUGURIN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
122,RIFT VALLEY,BARINGO,MOGOTIO,636F,33562109,NGUBERETI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
123,RIFT VALLEY,BARINGO,MOGOTIO,EWXY,33562115,OLBAT MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
124,RIFT VALLEY,BARINGO,MOGOTIO,5UHX,33562403,OLDEBES SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
125,RIFT VALLEY,BARINGO,MOGOTIO,GZVP,33562404,OLKOKWE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
126,RIFT VALLEY,BARINGO,MOGOTIO,FY29,33562207,OTERIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
127,RIFT VALLEY,BARINGO,MOGOTIO,VMZZ,33562204,RADAD SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
128,RIFT VALLEY,BARINGO,MOGOTIO,FDAZ,33562106,REUBEN CHERUIYOT SECONDARY SCHOOL - OLMARAI,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
129,RIFT VALLEY,BARINGO,MOGOTIO,FAMQ,33562205,SAGASAGIK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
130,RIFT VALLEY,BARINGO,MOGOTIO,BBU5,33562402,SINENDE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
131,RIFT VALLEY,BARINGO,MOGOTIO,3TVZ,33562302,SIRWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
132,RIFT VALLEY,BARINGO,MOGOTIO,J9L2,33562304,SORE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
133,RIFT VALLEY,BARINGO,MOGOTIO,34ND,33562209,ST. MARY'S MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
134,RIFT VALLEY,BARINGO,TIATY EAST,PZ24,33584007,AIC AMAYA HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
135,RIFT VALLEY,BARINGO,TIATY EAST,STKJ,33584005,CHURO MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
136,RIFT VALLEY,BARINGO,TIATY EAST,EHR8,33584006,KOROSSI HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
137,RIFT VALLEY,BARINGO,TIATY EAST,8P7A,33584009,ORUS HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
138,RIFT VALLEY,BARINGO,TIATY EAST,2RXC,33584008,SILALE HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
139,RIFT VALLEY,BARINGO,TIATY,77F6,33532109,CHEMOLINGOT MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
140,RIFT VALLEY,BARINGO,WTIAESTTY,J3VB,33532112,KIPNAI HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
141,RIFT VALLEY,BARINGO,WTIAESTTY,Y4H8,33532114,KOSITEI HIGH,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
142,RIFT VALLEY,BARINGO,WTIAESTTY,Z7XG,33532110,MARON HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
143,RIFT VALLEY,BARINGO,WTIAESTTY,DXD3,33532113,THE AKORET GIRLS,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
144,RIFT VALLEY,BARINGO,WTIAESTTY,GWM4,33532111,THE TIATY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
145,RIFT VALLEY,BOMET,WBOEMSTET,EYMF,25508122,AISAIK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
146,RIFT VALLEY,BOMET,CBEONMTERTA L,GU2H,25508138,BALEK B SEC,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
147,RIFT VALLEY,BOMET,CBEONMTERTA L,97NH,25508164,BISHOP CORNELIUS KORIR SEGUTIET GIRLS SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
148,RIFT VALLEY,BOMET,CBEONMTERTA L,9HG2,25508153,CHANGINA SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
149,RIFT VALLEY,BOMET,CBEONMTERTA L,N99R,25508140,CHEPNGAINA SEC.,C4,PUBLIC,REGULAR,NONE,DAY,mixed
150,RIFT VALLEY,BOMET,BCEONMTERTA L,4WDD,25508144,CHESOEN GIRLS' SEC.SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
151,RIFT VALLEY,BOMET,CBEONMTERTA L,SSLP,25508104,CHESOEN HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
152,RIFT VALLEY,BOMET,BCEONMTERTA L,2K3Q,255508142,KABUNGUT MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
153,RIFT VALLEY,BOMET,CBEONMTERTA L,PE8R,25508114,KABUSARE SEC. SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
154,RIFT VALLEY,BOMET,CBEONMTERTA L,MC48,25508135,KAMOGOSO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
155,RIFT VALLEY,BOMET,CBEONMTERTA L,TLWZ,25508150,KANUSIN GIRLS DAY,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
156,RIFT VALLEY,BOMET,CBEONMTERTA L,F6AQ,25505155,KAPSANGARU HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
157,RIFT VALLEY,BOMET,CBEONMTERTA L,JTCM,25508134,KAPSIMOTWO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
158,RIFT VALLEY,BOMET,BCEONMTERTA L,Z2KA,25508118,KIMARGIS SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
