S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
2429,RIFT VALLEY,KERICHO,BURETI,WRCH,28522501,TENGECHA BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2430,RIFT VALLEY,KERICHO,BURETI,NAKY,28522509,TENGECHA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2455,RIFT VALLEY,KERICHO,KERICHO,PE9Q,28500005,KIPSIGIS GIRLS' HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
2461,RIFT VALLEY,KERICHO,KERICHO,FLFQ,28512112,MOI TEA GIRLS SECONDARY SCHOOL,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
2525,RIFT VALLEY,KERICHO,LONDIANI,88DR,28571104,KEDOWA SPECIAL SECONDARY SCHOOL,C1,PUBLIC,SNE,HI,BOARDING,Mixed
2621,CENTRAL,KIAMBU,GATUNDU,QGQU,11236101,ST.FRANCIS GIRLS HIGH SCHOOL (MANG'U),C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2674,CENTRAL,KIAMBU,GITHNUONRGTUHRI,SA3X,11232101,KAMBUI GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2692,CENTRAL,KIAMBU,GITHUNGURI,9MGT,11232113,PCEA KAMBUI SCHOOL FOR HEARING IMPAIRED,C1,PUBLIC,SNE,HI,BOARDING,Mixed
2708,CENTRAL,KIAMBU,JUJA,DJ8J,11200003,MANGU HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2751,CENTRAL,KIAMBU,KIAMBU,6ST4,11205204,KIAMBU HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2758,CENTRAL,KIAMBU,KIAMBU,PSRL,11205201,ST. ANNE'S SECONDARY SCHOOL-LIOKI,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2762,CENTRAL,KIAMBU,KIKUYU,C8FX,11200002,ALLIANCE GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2763,CENTRAL,KIAMBU,KIKUYU,RVPP,11200001,ALLIANCE HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2818,CENTRAL,KIAMBU,LARI,CXQX,11231102,PRECIOUS BLOOD KAGWE GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2829,CENTRAL,KIAMBU,LIMURU,VJHU,11200004,LIMURU GIRLS' SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2830,CENTRAL,KIAMBU,LIMURU,GATC,11200005,LORETO HIGH SCHOOL LIMURU,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2875,CENTRAL,KIAMBU,THIKA WEST,FMPQ,11200006,OUR LADY OF MT.CARMEL MARYHILL GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2877,CENTRAL,KIAMBU,THIKA WEST,W98U,11207106,S.A. HIGH SCH FOR THE BLIND,C1,PUBLIC,SNE,V.I,BOARDING,Mixed
2878,CENTRAL,KIAMBU,THIKA WEST,CU6B,11207105,S.A. JOYTOWN SECONDARY SCH FOR PH,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
2881,CENTRAL,KIAMBU,THIKA WEST,HNYB,11207101,THIKA HIGH SCH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2967,COAST,KILIFI,KILIFI NORTH,LHKU,04102116,PWANI DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
2972,COAST,KILIFI,KILIFI SOUTH,L8MM,4100008,BAHARI GIRLS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
2985,COAST,KILIFI,KILIFI SOUTH,NRB5,4125131,SAHAJANAND SPECIAL SCHOOL,C1,PUBLIC,SDNE,HI/PH/VI,BOARDING,Mixed
3035,COAST,KILIFI,MALINDI,3Y3N,4107101,MALINDI HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3053,COAST,KILIFI,RABAI,CALY,4122102,DR.KRAPF,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3060,COAST,KILIFI,RABAI,XKHE,4122103,KOMBENI,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3067,COAST,KILIFI,RABAI,2LZD,4100002,RIBE BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3068,COAST,KILIFI,RABAI,B4TS,4122105,RIBE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3092,CENTRAL,KIRINYAGA,KIRINYAGA,DH4N,9203405,MUTIRA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3101,CENTRAL,KIRINYAGA,CKEIRNITNRYAGA,7YSP,9203402,ST. FAUSTINA KERUGOYA GIRLS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
3111,CENTRAL,KIRINYAGA,CKEIRNITNRYAGA,SCEA,9200011,KABARE GIRLS' HIGH SCHOOL,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
3120,CENTRAL,KIRINYAGA,EKAIRSITNYAGA,PTQ6,9222201,KIANYAGA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3139,CENTRAL,KIRINYAGA,EKAIRSITNYAGA,RVM4,9200012,BARICHO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3301,NYANZA,KISII,WKEENSYTENYA,EZ4P,40727101,RIOKINDO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3317,NYANZA,KISII,KISII,G423,40703418,GIANCHERE FRIENDS SEC/VOC FOR THE HEARING IMPAIRE,C1,PUBLIC,SNE,HI,BOARDING,Mixed
3323,NYANZA,KISII,CKEISNIIT RAL,3UMS,40703103,KERERI GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3326,NYANZA,KISII,CKEISNIIT RAL,WBX4,40700002,KISII HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3390,NYANZA,KISII,CKEITNUTTRUA L,C45H,40700003,NYABURURU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3594,NYANZA,KISUMU,KCEISNUTMRUA L,JFFJ,39741015,JOYLAND SPECIAL SECONDARY SCHOOL,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
3596,NYANZA,KISUMU,CKEISNUTMRUA L,TEL2,39741005,KISUMU BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3598,NYANZA,KISUMU,KCEISNUTMRUA L,ATC6,39700009,KISUMU GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3637,NYANZA,KISUMU,CKEISNUTMRUA LWEST,8SWL,39700001,MASENO SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3648,NYANZA,KISUMU,KISUMU WEST,FB35,39737025,SINYOLO GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3662,NYANZA,KISUMU,MUHORONI,VQ44,39734313,KIBOS VISUALLY IMPARED SECONDARY SCHOOL,C1,PUBLIC,SNE,VI,BOARDING,Mixed
3718,NYANZA,KISUMU,NYAKACH,82QP,39733213,NYAKACH GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3736,NYANZA,KISUMU,NYAKACH,RZ7P,39733224,ST. GEORGE SPECIAL SECONDARY SCHOOL,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
3885,EASTERN,KITUI,KITUI,A66N,13300007,KITUI HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3898,EASTERN,KITUI,KCEITNUTIRAL,95WM,13302102,ST CHARLES LWANGA SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
3935,EASTERN,KITUI,KCEITNUTIR WAELST,WC8Y,13300005,MUTHALE GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
3954,EASTERN,KITUI,KYUSO,6YHE,13328102,KIMANGAO GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4276,COAST,KWALE,KINANGO,VLQH,2109101,KINANGO SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4312,COAST,KWALE,MATUGA,P6GZ,2100005,KWALE HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4313,COAST,KWALE,MATUGA,GA54,2105120,KWALE HIGH SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
4314,COAST,KWALE,MATUGA,6J6F,2100006,MATUGA GIRLS HGH SCH,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4323,COAST,KWALE,MATUGA,LA49,2105104,WAA HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4447,RIFT VALLEY,LAIKIPIA,LAIKIPIA EAST,U8CD,30500021,NANYUKI HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4469,RIFT VALLEY,LAIKIPIA,LAIKIPIA,TQ24,30544101,G.G RUMURUTI SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4488,RIFT VALLEY,LAIKIPIA,WNYEASHTURURU,RDGW,30556101,GATERO GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4501,RIFT VALLEY,LAIKIPIA,NYAHURURU,SA7G,30556301,NDURURUMO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,Mixed
4503,RIFT VALLEY,LAIKIPIA,NYAHURURU,D2E4,30500020,NJONJO GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4517,COAST,LAMU,LAMU,8WZT,06100011,LAMU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4539,COAST,LAMU,LCAENMTUR WALEST,F3NK,06100012,MPEKETONI BOYS HIGH SCH,C1,PUBLIC,INTERGRATE,PH,BOARDING,BOYS
4630,EASTERN,MACHAKOS,KATHIANI,N5AN,12300013,KATHIANI GIRLS SCHOOL,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
4679,EASTERN,MACHAKOS,MACHAKOS,S6CH,12300001,MACHAKOS BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
4680,EASTERN,MACHAKOS,MACHAKOS,YRLY,12301702,MACHAKOS GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
4681,EASTERN,MACHAKOS,MACHAKOS,7GES,12301796,MACHAKOS SECONDARY SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,MIXED
4787,EASTERN,MACHAKOS,MATUNGULU,NWXY,12345501,TALA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5026,EASTERN,MAKUENI,KIBWEZI,CXPV,18325209,ST. JOSEPH'S GIRLS SECONDARY KIBWEZI,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5050,EASTERN,MAKUENI,KILUNGU,G9D5,18336101,PRECIOUS BLOOD SECONDARY SCHOOL - KILUNGU,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5103,EASTERN,MAKUENI,MAKUENI,A8KQ,18300003,MAKUENI BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5104,EASTERN,MAKUENI,MAKUENI,LH7J,18307102,MAKUENI GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5166,EASTERN,MAKUENI,MBOONI EAST,N7W7,18346102,S.T ALPHONSA KISAU GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5200,EASTERN,MAKUENI,MBOONI,5VB6,18323102,MBOONI BOYS,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5209,EASTERN,MAKUENI,WMBEOSTONI,2C7G,18300016,ST THERESE MBOONI GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5249,EASTERN,MAKUENI,WMUEKSTAA,JC4P,18347501,MUKAA BOYS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5284,EASTERN,MAKUENI,NZAUI,ZDJQ,18324301,MATILIKU SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5365,NORTH,MANDERA,MANDERA,976X,47800005,MANDERA SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5366,NEAOSRTTEHR N,MANDERA,EMAASNTDERA,3GD6,47800006,MOI GIRLS SECONDARY,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5405,EEASSTTEERN,MARSABIT,EMAASRTSABIT,DAH8,16300008,MOI GIRLS SECONDARY SCHOOL-MARSABIT,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5417,EASTERN,MARSABIT,MOYALE,B956,16300014,MOYALE SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5570,EASTERN,MERU,IGOJI,MZDD,15370324,ST. LUCY'S HIGH SCHOOL FOR THE VISUALLY IMPAIRED,C1,PUBLIC,SNE,V.I,BOARDING,Mixed
5571,EASTERN,MERU,IGOJI,MY4N,15300012,ST. MARY'S GIRLS HIGH SCHOOL IGOJI,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5577,EASTERN,MERU,IMENTI EAST,JYVC,15374102,KAAGA GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5583,EASTERN,MERU,IMENTI EAST,J5DS,15300002,MERU SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5625,EASTERN,MERU,IMENTI,GEML,15319101,NKUBU HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5853,NYANZA,MIGORI,SAOWUETNHDO,EW7R,44739104,"ST. ALBERT'S GIRLS HIGH SCHOOL, ULANDA",C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5896,NYANZA,MIGORI,KURIA WEST,DSMS,44708101,TARANG'ANYA BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
5906,NYANZA,MIGORI,MABERA,D9ZS,44700011,MOI NYABOHANSE GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
5919,NYANZA,MIGORI,MIGORI,U7D5,44707105,KADIKA GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6025,NYANZA,MIGORI,RONGO,9KQC,44700006,KANGA HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6032,NYANZA,MIGORI,RONGO,8BMJ,44717106,KUJA SPECIAL SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,Mixed
6112,NYANZA,MIGORI,URIRI,UQDE,44736101,ST JOSEPH'S RAPOGI SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6136,COAST,MOMBASA,KISAUNI,W3WT,3100001,MAMA NGINA GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6140,COAST,MOMBASA,KISAUNI,P8NT,3100007,SHIMO-LA-TEWA SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6151,COAST,MOMBASA,LIKONI,QMYA,3108115,THE SALVATION ARMY LIKONI HIGH FOR THE VISUALLY IM,C1,PUBLIC,SNE,VI,BOARDING,Mixed
6173,COAST,MOMBASA,NYALI,ZXEG,3126103,M.S.S FOR THE PHYSICALLY HANDICAPPED,C1,PUBLIC,SNE,P.H,BOARDING,BOYS
6244,CENTRAL,MURANG'A,KAHURO,Q835,10238101,KAHUHIA GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6249,CENTRAL,MURANG'A,KAHURO,BTL6,10238114,KIAGUTHU BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6258,CENTRAL,MURANG'A,KAHURO,42MW,10200013,MUGOIRI GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
6382,CENTRAL,MURANG'A,KIGUMO,D2QA,10227301,NJIIRI SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
6442,CENTRAL,MURANG'A,MURANG'A,D2VN,10200008,MURANGA HIGH - PUBLIC,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
