S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
8,RIFT VALLEY,BARINGO,BARINGO,CD36,33517201,KABARNET HIGH SCHOOL,C1,PUBLIC,RSNEGE/ULAR,NTOYPNEE,BOONA TRYDPIENG,BOYS
14,RIFT VALLEY,BARINGO,CBEANRTINRGAOL,8WY3,33517202,KAPROPITA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
69,RIFT VALLEY,BARINGO,CENBATRIANLGO,2V5E,33500019,OSSEN SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
78,RIFT VALLEY,BARINGO,KOIBNAOTRETKH,HLWY,33500018,BARINGO BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
254,RIFT VALLEY,BOMET,BOMET,57ZH,25500023,TENWEK HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
361,RIFT VALLEY,BOMET,CCEHNEPTARLAULNGU,5NH8,25551207,MOI SIONGIROI GIRLS' SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
466,RIFT VALLEY,BOMET,SOTIK,Q2BT,25533103,KAPLONG BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
467,RIFT VALLEY,BOMET,SOTIK,2YKS,25500019,KAPLONG GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
495,RIFT VALLEY,BOMET,SOTIK,WA7V,25533120,ST. KIZITO SECONDARY SCHOOL FOR THE HEARING IMPAIR,C1,PUBLIC,SNE,HI,BOARDING,GIRLS
504,WESTERN,BUNGOMA,BUMULA,EAEH,36628147,JOYVALLEY S.A SPECIAL SECONDARY SCHOOLFOR P.H,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
554,WESTERN,BUNGOMA,BUNGOMA,7BC9,36612116,NALONDO CBM SECONDARY FOR PHYSICALLY HANDCAPPE,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
634,WESTERN,BUNGOMA,BCUENNGTORMAA,YAU5,36602103,CARDINAL OTUNGA GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
649,WESTERN,BUNGOMA,BUSNOGUOTHMA,N7CB,36602102,KIBABII HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
758,WESTERN,BUNGOMA,KIMSILOIULITH,VMZ9,36600004,FRIENDS KAMUSINGA,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
770,WESTERN,BUNGOMA,KIMILILI,VJ73,36621108,"MOI GIRLS HIGH SCHOOL, KAMUSINGA",C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
855,WESTERN,BUNGOMA,WEBUYE,GV53,36600002,LUGULU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
907,WESTERN,BUSIA,WBUESSITA,REWP,35601202,ST. STEPHENS LWANYA GIRLS SECONDARY,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
922,WESTERN,BUSIA,BUTULA,6UPN,35600007,BUTULA BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
948,WESTERN,BUSIA,NAMBALE,ZEFL,35629101,NAMBALE SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
993,WESTERN,BUSIA,TESO,KMH9,35639109,ST. BRIDGIT AKOREET SEC & VOC. TRAIN,C1,PUBLIC,SNE,HI,BOARDING,Mixed
1020,WESTERN,BUSIA,CTEENSOT RNAOLRTH,VHTB,35600008,S.A. KOLANYA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1067,RIFT VALLEY,ELGEYO,KEIYO NORTH,QYWY,34500010,ST PATRICK ITEN,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1075,RIFT VALLEY,MELAGREAYKOW,KEIYO NORTH,DAKM,34518401,TAMBACH BOYS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
1108,RIFT VALLEY,MELAGREAYKOW,KEIYO SOUTH,MQUJ,34559502,METKEI GIRLS SECONDARY,C1,PUBLIC,DREGULAR,NONE,BOARDING,GIRLS
1170,RIFT VALLEY,MELAGREAYKOW,MARAKWET,2RPN,34500017,MOI KAPSOWAR GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1202,EASTERN,MEMABRUAKW,EMBWU EESATST,HBDB,14333201,KYENI GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1204,EASTERN,EMBU,EMBU EAST,E3HX,14300006,MOI HIGH MBIRURI,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1288,EASTERN,EMBU,MBEERE,BCQP,14312122,ACK MARY MAGDALENE HIGH SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,Mixed
1314,EASTERN,EMBU,NMOBRETEHRE,5Q9M,14312101,SIAKAGO BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1315,EASTERN,EMBU,NMOBRETEHRE,5ELL,14300011,SIAKAGO GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1351,EASTERN,EMBU,MNOBRETEHRE,FKUD,14341201,NYANGWA BOYS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1402,NORTH,GARISSA,SGOAURTISHSA,5G35,45800001,GARISSA HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1403,NEAOSRTTEHR N,GARISSA,GARISSA,8UDT,45801143,GARISSA SPECIAL SECONDARY SCHOOL FOR THE DEAF,C1,PUBLIC,SNE,HI,BOARDING,Mixed
1405,ENAOSRTTEHR N,GARISSA,GARISSA,274N,45800002,NEP GIRLS HIGH,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1435,ENAYSATNEZRAN,HOMA BAY,HOMA BAY,HQXM,41704001,HOMA BAY HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1444,NYANZA,HOMA BAY,HOMA BAY,HQ39,41704003,OGANDE GIRLS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1468,NYANZA,HOMA BAY,MBITA,DECW,41730310,LAMBWE SPECIAL SECONDARY SCHOOL FOR THE HEARING,C1,PUBLIC,SNE,HI,BOARDING,Mixed
1469,NYANZA,HOMA BAY,MBITA,AYPM,41700010,MBITA HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,BOYS
1546,NYANZA,HOMA BAY,RACHUONYO,FYVT,41743103,BISHOP LINUS OKOK GIRLS' SECONDARY SCHOOL,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
1644,NYANZA,HOMA BAY,ERAASCTHUONYO,QERE,41710301,AGORO SARE HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1680,NYANZA,HOMA BAY,RANGSOWUET,WMWC,41700004,ASUMBI GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1701,NYANZA,HOMA BAY,RANGWE,5WQU,41742105,ORERO BOYS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1768,EASTERN,ISIOLO,GARBATULLA,ZXZL,17300015,GARBATULA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1776,EASTERN,ISIOLO,ISIOLO,WMYK,17300009,ISIOLO GIRLS HIGH SCHOOL,C1,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
1811,RIFT VALLEY,KAJIADO,ISINYA,VKMC,31500011,MOI GIRLS ISINYA,C1,PUBLIC,RDEGULAR,NONE,BOARDING,GIRLS
1812,RIFT VALLEY,KAJIADO,ISINYA,B7C7,31567201,NOONKOPIR GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1822,RIFT VALLEY,KAJIADO,KAJIADO,5NZD,31515101,OLKEJUADO HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1837,RIFT VALLEY,KAJIADO,CKEANJITARDAOL,3YA9,31500026,OLOOLAISER HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1904,WESTERN,KAKAMEGA,BNUOTRETRHE,XT9Q,37600005,BUTERE GIRLS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1941,WESTERN,KAKAMEGA,KAKAMEGA,3NLD,37600001,KAKAMEGA SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2003,WESTERN,KAKAMEGA,CEKNATKRAAMEGA,SNFG,37616007,"THE SACRED HEART GIRLS, MUKUMU",C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2073,WESTERN,KAKAMEGA,KAKAEMASETGA,JCSP,37615001,MUSINGU BOYS HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2089,WESTERN,KAKAMEGA,SKOHUWTIHSERO,865Q,37625123,ACK EMATUNDU BOYS SECONDARY/VOCATIONAL SCHOOL,C1,PUBLIC,SNE,HI,BOARDING,BOYS
2289,WESTERN,KAKAMEGA,MUMIAS,FYTR,37617206,ST. ANGELA MUMIAS VOCATIONAL SCHOOL FOR DEAF,C1,PUBLIC,SNE,HI,BOARDING,GIRLS
2296,WESTERN,KAKAMEGA,MWUEMSTIAS,F5U8,37617211,ST. PETER'S MUMIAS BOYS' HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2352,RIFT VALLEY,KERICHO,BWEELSGTUT,HKSE,28500006,KABIANGA HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2370,RIFT VALLEY,KERICHO,BURETI,UTE8,28522520,A.I.C LITEIN GIRLS SECONDARY S CHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
2412,RIFT VALLEY,KERICHO,BURETI,CAYW,28522505,LITEIN HIGH SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
2428,RIFT VALLEY,KERICHO,BURETI,9398,28522542,ST.PAUL'S CHARERA SPECIAL HIGH SCHOOL,C1,PUBLIC,SNE,P.H,BOARDING,Mixed
