S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/,DISABILITY,ACCOMODATI,GENDER
426,RIFT VALLEY,KERICHO,KERICHO,V53B,28512120,TOROR GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
427,RIFT VALLEY,KERICHO,KIPKELION,37Z3,28539103,BARSIELE SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
428,RIFT VALLEY,KERICHO,KIPKELION,XED8,28539301,CHILCHILA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
429,RIFT VALLEY,KERICHO,KIPKELION,7AJF,28539304,KIPTERIS GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
430,RIFT VALLEY,KERICHO,KIPKELION,3P23,28539305,NDUBUSAT GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
431,RIFT VALLEY,KERICHO,KIPKELION,YZX9,28539102,TAITA TOWETT SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
432,RIFT VALLEY,KERICHO,LONDIANI,26SZ,28571405,BAROTION SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
433,RIFT VALLEY,KERICHO,LONDIANI,DDB8,28571604,CHAGAIK SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
434,RIFT VALLEY,KERICHO,LONDIANI,D7MN,28571509,CHEPSEON MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
435,RIFT VALLEY,KERICHO,LONDIANI,56XC,28571601,CHEPSIR BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
436,RIFT VALLEY,KERICHO,LONDIANI,PZFG,28571503,CHESINENDE GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
437,RIFT VALLEY,KERICHO,LONDIANI,WQ3D,28571301,KAPCHEPLANGA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
438,RIFT VALLEY,KERICHO,LONDIANI,FMRV,28571103,KEDOWA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
439,RIFT VALLEY,KERICHO,LONDIANI,BHE8,28571101,KIMASIAN SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
440,RIFT VALLEY,KERICHO,SOIN,BDLE,28575109,CHEPTUIYET GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
441,RIFT VALLEY,KERICHO,SSIOGIONWET,65KK,28575102,KAKIBEI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
442,RIFT VALLEY,KERICHO,SSIOGIONWET,FQUP,28575107,KAPLELARTET SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
443,RIFT VALLEY,KERICHO,SSIOGIONWET,BQMU,28575101,KIPTERE MIXED DAY AND BOARDING SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
444,RIFT VALLEY,KERICHO,SSOIGIONWET,2TMR,28575104,MSCUHSOAORLIA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
445,RIFT VALLEY,KERICHO,SSOIGIONWET,QCVN,28575103,SINGORONIK SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
446,RIFT VALLEY,KERICHO,SSOIGIONWET,SY2G,28575105,ST.THOMAS MINDILILWET SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
447,CENTRAL,KIAMBU,SGIAGTOUWNEDTU,C52H,11236105,GAKOE HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
448,CENTRAL,KIAMBU,NGAOTRUTNHDU,SARY,11236111,GATUNGURU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
449,CENTRAL,KIAMBU,NGAOTRUTNHDU,G86K,11236116,GIKINDU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
450,CENTRAL,KIAMBU,NGAOTRUTNHDU,AF2B,11236102,KAIRI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
451,CENTRAL,KIAMBU,NGAOTRUTNHDU,LJHW,11236119,MAKWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
452,CENTRAL,KIAMBU,NGAOTRUTNHDU,NZGM,11236106,OUR LADY OF FATIMA KIRIKO GIRLS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
453,CENTRAL,KIAMBU,NGAOTRUTNHDU,74WJ,11212115,SGCAHTOHOIRLU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
454,CENTRAL,KIAMBU,SGOAUTTUHNDU,ZGQY,11212109,ICACIRI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
455,CENTRAL,KIAMBU,SGOAUTTUHNDU,TQYC,11212104,KAHUGUINI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
456,CENTRAL,KIAMBU,SGOAUTTUHNDU,8WR6,11212110,KIBIRU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
457,CENTRAL,KIAMBU,SGOAUTTUHNDU,CN4W,11212121,MUTUNGURU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
458,CENTRAL,KIAMBU,SGOAUTTUHNDU,LRWJ,11212118,QUEEN OF PEACE NEMBU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
459,CENTRAL,KIAMBU,GSOAUTTUHNDU,N9JJ,11212128,ST. MARY'S SECONDARY SCHOOL- KIAMWORIA,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
460,CENTRAL,KIAMBU,SGOAUTTUHNDU,HPQ6,11212117,ST. VERENA UCEKEINI GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
461,CENTRAL,KIAMBU,SGOAUTTUHNDU,APHJ,11212105,ST.CLARE GIRLS HIGH SCHOOL - GATITU,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
462,CENTRAL,KIAMBU,GSOITUHTUHNGURI,8V5S,11232104,GATHIRIMU GIRLS TECHNICAL HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
463,CENTRAL,KIAMBU,GITHUNGURI,DFBL,11232302,GATHIRU-INI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
464,CENTRAL,KIAMBU,GITHUNGURI,QDSR,11232308,GITHIMA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
465,CENTRAL,KIAMBU,GITHUNGURI,X9VT,11232303,J G KIEREINI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
466,CENTRAL,KIAMBU,GITHUNGURI,GCGU,11232301,KOMOTHAI BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
467,CENTRAL,KIAMBU,GITHUNGURI,RCE9,11232304,KOMOTHAI GIRL'S TECHNICAL SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
468,CENTRAL,KIAMBU,KABETE,5KHM,11241005,KABETE HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
469,CENTRAL,KIAMBU,KABETE,VW8U,11241014,P.C.E.A. KANJERU BOOTH GIRLS' HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
470,CENTRAL,KIAMBU,KIAMBAA,Y3S2,11240110,ST. ANGELAS GIRLS HIGH SCHOOL KARURA,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
471,CENTRAL,KIAMBU,KIAMBU,7RY8,11205206,RIABAI HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
472,CENTRAL,KIAMBU,KIKUYU,864K,11230315,KIKUYU BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
473,CENTRAL,KIAMBU,KIKUYU,EJU8,11230401,KIKUYU DAY SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
474,CENTRAL,KIAMBU,KIKUYU,XXVM,11230406,MUSA GITAU SECONDARY SCHOOL,C3,PUBLIC,INTERGRATE,VI,BOARDING,GIRLS
475,CENTRAL,KIAMBU,LARI,GB2F,11231101,GATAMAIYU BOYS HIGH SCHOOL,C3,PUBLIC,RDEGULAR,NONE,BOARDING,BOYS
476,CENTRAL,KIAMBU,LARI,A3A4,11231217,GITUAMBA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
477,CENTRAL,KIAMBU,LARI,V485,11231203,KAMBAA GIRL'S HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
478,CENTRAL,KIAMBU,LARI,KMRR,11231204,KINALE GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
479,CENTRAL,KIAMBU,LARI,HD9Z,11231201,LARI BOYS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
480,CENTRAL,KIAMBU,LIMURU,SLU7,11211313,KAMANDURA GIRLS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
481,CENTRAL,KIAMBU,LIMURU,P2UL,11211301,NGENIA HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
482,CENTRAL,KIAMBU,LIMURU,KTP2,11211303,OUR LADY OF MERCY NGARARIGA GIRLS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
483,CENTRAL,KIAMBU,NDEIYA,SCDE,11246103,SSTCH. MOARY'S GIRLS - THIGIO,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
484,CENTRAL,KIAMBU,NDEIYA,LFXJ,11246102,THE SACRED HEART GIRLS' SECONDARY SCHOOL-,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
485,CENTRAL,KIAMBU,NDEIYA,6TEX,11246101,MTHIRIGITIOH UBOYS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
432,RIFT VALLEY,KERICHO,LONDIANI,26SZ,28571405,BAROTION SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
433,RIFT VALLEY,KERICHO,LONDIANI,DDB8,28571604,CHAGAIK SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
434,RIFT VALLEY,KERICHO,LONDIANI,D7MN,28571509,CHEPSEON MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
435,RIFT VALLEY,KERICHO,LONDIANI,56XC,28571601,CHEPSIR BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
436,RIFT VALLEY,KERICHO,LONDIANI,PZFG,28571503,CHESINENDE GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
437,RIFT VALLEY,KERICHO,LONDIANI,WQ3D,28571301,KAPCHEPLANGA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
438,RIFT VALLEY,KERICHO,LONDIANI,FMRV,28571103,KEDOWA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
439,RIFT VALLEY,KERICHO,LONDIANI,BHE8,28571101,KIMASIAN SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
440,RIFT VALLEY,KERICHO,SOIN,BDLE,28575109,CHEPTUIYET GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
441,RIFT VALLEY,KERICHO,SSIOGIONWET,65KK,28575102,KAKIBEI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
442,RIFT VALLEY,KERICHO,SSIOGIONWET,FQUP,28575107,KAPLELARTET SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
443,RIFT VALLEY,KERICHO,SSIOGIONWET,BQMU,28575101,KIPTERE MIXED DAY AND BOARDING SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
444,RIFT VALLEY,KERICHO,SSOIGIONWET,2TMR,28575104,MSCUHSOAORLIA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
445,RIFT VALLEY,KERICHO,SSOIGIONWET,QCVN,28575103,SINGORONIK SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
446,RIFT VALLEY,KERICHO,SSOIGIONWET,SY2G,28575105,ST.THOMAS MINDILILWET SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
447,CENTRAL,KIAMBU,SGIAGTOUWNEDTU,C52H,11236105,GAKOE HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
448,CENTRAL,KIAMBU,NGAOTRUTNHDU,SARY,11236111,GATUNGURU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
449,CENTRAL,KIAMBU,NGAOTRUTNHDU,G86K,11236116,GIKINDU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
450,CENTRAL,KIAMBU,NGAOTRUTNHDU,AF2B,11236102,KAIRI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
451,CENTRAL,KIAMBU,NGAOTRUTNHDU,LJHW,11236119,MAKWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
452,CENTRAL,KIAMBU,NGAOTRUTNHDU,NZGM,11236106,OUR LADY OF FATIMA KIRIKO GIRLS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
453,CENTRAL,KIAMBU,NGAOTRUTNHDU,74WJ,11212115,SGCAHTOHOIRLU SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
454,CENTRAL,KIAMBU,SGOAUTTUHNDU,ZGQY,11212109,ICACIRI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
455,CENTRAL,KIAMBU,SGOAUTTUHNDU,TQYC,11212104,KAHUGUINI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
